submitit INFO (2025-06-27 18:03:29,137) - Starting with JobEnvironment(job_id=351632, hostname=node6, local_rank=0(1), node=0(1), global_rank=0(1))
submitit INFO (2025-06-27 18:03:29,137) - Loading pickle: /home/tom.balay/Baking_EEG/submitit/submitit_logs/KA70_PP/351632_submitted.pkl
DEBUG Worker - project_root: /home/tom.balay/Baking_EEG
DEBUG Worker - sys.path: ['/home/tom.balay/Baking_EEG', '/home/tom.balay/Baking_EEG/submitit', '/usr/lib/python311.zip']...
DEBUG Worker - Processing subject KA70 from group VS
DEBUG Worker - Using PP protocol (extended/battery)
2025-06-27 18:03:32,829 - INFO - examples.run_decoding_one_group_pp - [<module>:39] - Tentative d'import de execute_single_subject_decoding...
2025-06-27 18:03:32,830 - INFO - examples.run_decoding_one_group_pp - [<module>:42] - ✅ Import de execute_single_subject_decoding réussi
2025-06-27 18:03:32,832 - INFO - examples.run_decoding_one_pp - [execute_single_subject_decoding:258] - Starting decoding for subject: KA70 (Group: VS, Task Set ID: Analysis_PP_Individual, Classifier: svc, GS: False, CSP (temp): False, ANOVA FS (temp): True, n_jobs: 40)
2025-06-27 18:03:33,159 - ERROR - utils.loading_PP_utils - [load_epochs_data_for_decoding_delirium:438] - CRITICAL: No data loaded for ANY specified conditions for subject KA70.
2025-06-27 18:03:33,159 - WARNING - utils.loading_PP_utils - [load_epochs_data_for_decoding_delirium:445] - Empty data array for condition 'temp' (specifier: 'AP') for subject KA70.
2025-06-27 18:03:33,160 - INFO - utils.loading_PP_utils - [detect_protocol_type:712] - Detected Battery protocol: 42 Music/Conv events, 124 total events
2025-06-27 18:03:33,160 - INFO - utils.loading_PP_utils - [load_epochs_data_auto_protocol:856] - Auto-detected protocol 'battery' for subject 'KA70' (file hint: battery)
2025-06-27 18:03:33,160 - INFO - utils.loading_PP_utils - [load_epochs_data_for_decoding_battery:503] - Loading Battery protocol data for subject 'KA70' (group: VS)
2025-06-27 18:03:33,160 - INFO - utils.loading_PP_utils - [load_epochs_data_for_decoding_battery:507] - Battery protocol conditions: ['XPP_ALL', 'XAP_ALL']
2025-06-27 18:03:33,160 - INFO - utils.loading_PP_utils - [find_epochs_file_with_protocol_detection:64] - Found epochs file: /mnt/data/tom.balay/data/Baking_EEG_data/PP_VS_1HZ/Battery/KA70_preproc_noICA_PPAP-epo_ar.fif (protocol: battery)
2025-06-27 18:03:33,160 - INFO - utils.loading_PP_utils - [load_epochs_data_for_decoding_delirium:301] - Loading epoch data for subject 'KA70' from: /mnt/data/tom.balay/data/Baking_EEG_data/PP_VS_1HZ/Battery/KA70_preproc_noICA_PPAP-epo_ar.fif (file protocol: battery)
2025-06-27 18:03:33,342 - INFO - utils.loading_PP_utils - [load_epochs_data_for_decoding_delirium:312] - Event IDs available for KA70:
2025-06-27 18:03:33,342 - INFO - utils.loading_PP_utils - [load_epochs_data_for_decoding_delirium:316] -   - 'PP/Music/Conv/G/V1': 1140
2025-06-27 18:03:33,342 - INFO - utils.loading_PP_utils - [load_epochs_data_for_decoding_delirium:316] -   - 'PP/Music/Conv/G/V2': 1150
2025-06-27 18:03:33,342 - INFO - utils.loading_PP_utils - [load_epochs_data_for_decoding_delirium:316] -   - 'PP/Music/Conv/G/V3': 1160
2025-06-27 18:03:33,342 - INFO - utils.loading_PP_utils - [load_epochs_data_for_decoding_delirium:316] -   - 'PP/Music/Conv/D/V1': 1170
2025-06-27 18:03:33,342 - INFO - utils.loading_PP_utils - [load_epochs_data_for_decoding_delirium:316] -   - 'PP/Music/Conv/D/V2': 1180
2025-06-27 18:03:33,342 - INFO - utils.loading_PP_utils - [load_epochs_data_for_decoding_delirium:316] -   - 'PP/Music/Conv/D/V3': 1190
2025-06-27 18:03:33,342 - INFO - utils.loading_PP_utils - [load_epochs_data_for_decoding_delirium:316] -   - 'AP/1/Music/Conv/G/V1': 3141
2025-06-27 18:03:33,342 - INFO - utils.loading_PP_utils - [load_epochs_data_for_decoding_delirium:316] -   - 'AP/1/Music/Conv/G/V2': 3151
2025-06-27 18:03:33,342 - INFO - utils.loading_PP_utils - [load_epochs_data_for_decoding_delirium:316] -   - 'AP/1/Music/Conv/G/V3': 3161
2025-06-27 18:03:33,342 - INFO - utils.loading_PP_utils - [load_epochs_data_for_decoding_delirium:316] -   - 'AP/1/Music/Conv/D/V1': 3171
2025-06-27 18:03:33,343 - INFO - utils.loading_PP_utils - [load_epochs_data_for_decoding_delirium:316] -   - 'AP/1/Music/Conv/D/V2': 3181
2025-06-27 18:03:33,343 - INFO - utils.loading_PP_utils - [load_epochs_data_for_decoding_delirium:316] -   - 'AP/1/Music/Conv/D/V3': 3191
2025-06-27 18:03:33,343 - INFO - utils.loading_PP_utils - [load_epochs_data_for_decoding_delirium:316] -   - 'AP/2/Music/Conv/G/V1': 3142
2025-06-27 18:03:33,343 - INFO - utils.loading_PP_utils - [load_epochs_data_for_decoding_delirium:316] -   - 'AP/2/Music/Conv/G/V2': 3152
2025-06-27 18:03:33,343 - INFO - utils.loading_PP_utils - [load_epochs_data_for_decoding_delirium:316] -   - 'AP/2/Music/Conv/G/V3': 3162
2025-06-27 18:03:33,343 - INFO - utils.loading_PP_utils - [load_epochs_data_for_decoding_delirium:316] -   - 'AP/2/Music/Conv/D/V1': 3172
2025-06-27 18:03:33,343 - INFO - utils.loading_PP_utils - [load_epochs_data_for_decoding_delirium:316] -   - 'AP/2/Music/Conv/D/V2': 3182
2025-06-27 18:03:33,343 - INFO - utils.loading_PP_utils - [load_epochs_data_for_decoding_delirium:316] -   - 'AP/2/Music/Conv/D/V3': 3192
2025-06-27 18:03:33,343 - INFO - utils.loading_PP_utils - [load_epochs_data_for_decoding_delirium:316] -   - 'AP/3/Music/Conv/G/V1': 3143
2025-06-27 18:03:33,343 - INFO - utils.loading_PP_utils - [load_epochs_data_for_decoding_delirium:316] -   - 'AP/3/Music/Conv/G/V2': 3153
2025-06-27 18:03:33,343 - INFO - utils.loading_PP_utils - [load_epochs_data_for_decoding_delirium:316] -   - 'AP/3/Music/Conv/G/V3': 3163
2025-06-27 18:03:33,343 - INFO - utils.loading_PP_utils - [load_epochs_data_for_decoding_delirium:316] -   - 'AP/3/Music/Conv/D/V1': 3173
2025-06-27 18:03:33,343 - INFO - utils.loading_PP_utils - [load_epochs_data_for_decoding_delirium:316] -   - 'AP/3/Music/Conv/D/V2': 3183
2025-06-27 18:03:33,344 - INFO - utils.loading_PP_utils - [load_epochs_data_for_decoding_delirium:316] -   - 'AP/3/Music/Conv/D/V3': 3193
2025-06-27 18:03:33,344 - INFO - utils.loading_PP_utils - [load_epochs_data_for_decoding_delirium:316] -   - 'AP/4/Music/Conv/G/V1': 3144
2025-06-27 18:03:33,344 - INFO - utils.loading_PP_utils - [load_epochs_data_for_decoding_delirium:316] -   - 'AP/4/Music/Conv/G/V2': 3154
2025-06-27 18:03:33,344 - INFO - utils.loading_PP_utils - [load_epochs_data_for_decoding_delirium:316] -   - 'AP/4/Music/Conv/G/V3': 3164
2025-06-27 18:03:33,344 - INFO - utils.loading_PP_utils - [load_epochs_data_for_decoding_delirium:316] -   - 'AP/4/Music/Conv/D/V1': 3174
2025-06-27 18:03:33,344 - INFO - utils.loading_PP_utils - [load_epochs_data_for_decoding_delirium:316] -   - 'AP/4/Music/Conv/D/V2': 3184
2025-06-27 18:03:33,344 - INFO - utils.loading_PP_utils - [load_epochs_data_for_decoding_delirium:316] -   - 'AP/4/Music/Conv/D/V3': 3194
2025-06-27 18:03:33,344 - INFO - utils.loading_PP_utils - [load_epochs_data_for_decoding_delirium:316] -   - 'AP/5/Music/Conv/G/V1': 3145
2025-06-27 18:03:33,344 - INFO - utils.loading_PP_utils - [load_epochs_data_for_decoding_delirium:316] -   - 'AP/5/Music/Conv/G/V2': 3155
2025-06-27 18:03:33,344 - INFO - utils.loading_PP_utils - [load_epochs_data_for_decoding_delirium:316] -   - 'AP/5/Music/Conv/G/V3': 3165
2025-06-27 18:03:33,344 - INFO - utils.loading_PP_utils - [load_epochs_data_for_decoding_delirium:316] -   - 'AP/5/Music/Conv/D/V1': 3175
2025-06-27 18:03:33,344 - INFO - utils.loading_PP_utils - [load_epochs_data_for_decoding_delirium:316] -   - 'AP/5/Music/Conv/D/V2': 3185
2025-06-27 18:03:33,344 - INFO - utils.loading_PP_utils - [load_epochs_data_for_decoding_delirium:316] -   - 'AP/5/Music/Conv/D/V3': 3195
2025-06-27 18:03:33,345 - INFO - utils.loading_PP_utils - [load_epochs_data_for_decoding_delirium:316] -   - 'AP/6/Music/Conv/G/V1': 3146
2025-06-27 18:03:33,345 - INFO - utils.loading_PP_utils - [load_epochs_data_for_decoding_delirium:316] -   - 'AP/6/Music/Conv/G/V2': 3156
2025-06-27 18:03:33,345 - INFO - utils.loading_PP_utils - [load_epochs_data_for_decoding_delirium:316] -   - 'AP/6/Music/Conv/G/V3': 3166
2025-06-27 18:03:33,345 - INFO - utils.loading_PP_utils - [load_epochs_data_for_decoding_delirium:316] -   - 'AP/6/Music/Conv/D/V1': 3176
2025-06-27 18:03:33,345 - INFO - utils.loading_PP_utils - [load_epochs_data_for_decoding_delirium:316] -   - 'AP/6/Music/Conv/D/V2': 3186
2025-06-27 18:03:33,345 - INFO - utils.loading_PP_utils - [load_epochs_data_for_decoding_delirium:316] -   - 'AP/6/Music/Conv/D/V3': 3196
2025-06-27 18:03:33,412 - INFO - utils.loading_PP_utils - [inspect_epochs_events:908] - === EVENT INSPECTION FOR KA70 ===
2025-06-27 18:03:33,412 - INFO - utils.loading_PP_utils - [inspect_epochs_events:911] - File: /mnt/data/tom.balay/data/Baking_EEG_data/PP_VS_1HZ/Battery/KA70_preproc_noICA_PPAP-epo_ar.fif
2025-06-27 18:03:33,412 - INFO - utils.loading_PP_utils - [inspect_epochs_events:912] - Total events: 124
2025-06-27 18:03:33,412 - INFO - utils.loading_PP_utils - [inspect_epochs_events:913] - Event types and counts:
2025-06-27 18:03:33,412 - INFO - utils.loading_PP_utils - [inspect_epochs_events:915] -   - 'PP/Music/Conv/G/V1' (code 1140): 11 epochs
2025-06-27 18:03:33,412 - INFO - utils.loading_PP_utils - [inspect_epochs_events:915] -   - 'PP/Music/Conv/G/V2' (code 1150): 6 epochs
2025-06-27 18:03:33,412 - INFO - utils.loading_PP_utils - [inspect_epochs_events:915] -   - 'PP/Music/Conv/G/V3' (code 1160): 12 epochs
2025-06-27 18:03:33,413 - INFO - utils.loading_PP_utils - [inspect_epochs_events:915] -   - 'PP/Music/Conv/D/V1' (code 1170): 11 epochs
2025-06-27 18:03:33,413 - INFO - utils.loading_PP_utils - [inspect_epochs_events:915] -   - 'PP/Music/Conv/D/V2' (code 1180): 11 epochs
2025-06-27 18:03:33,413 - INFO - utils.loading_PP_utils - [inspect_epochs_events:915] -   - 'PP/Music/Conv/D/V3' (code 1190): 12 epochs
2025-06-27 18:03:33,413 - INFO - utils.loading_PP_utils - [inspect_epochs_events:915] -   - 'AP/1/Music/Conv/G/V1' (code 3141): 1 epochs
2025-06-27 18:03:33,413 - INFO - utils.loading_PP_utils - [inspect_epochs_events:915] -   - 'AP/1/Music/Conv/G/V2' (code 3151): 0 epochs
2025-06-27 18:03:33,413 - INFO - utils.loading_PP_utils - [inspect_epochs_events:915] -   - 'AP/1/Music/Conv/G/V3' (code 3161): 1 epochs
2025-06-27 18:03:33,413 - INFO - utils.loading_PP_utils - [inspect_epochs_events:915] -   - 'AP/1/Music/Conv/D/V1' (code 3171): 2 epochs
2025-06-27 18:03:33,413 - INFO - utils.loading_PP_utils - [inspect_epochs_events:915] -   - 'AP/1/Music/Conv/D/V2' (code 3181): 3 epochs
2025-06-27 18:03:33,413 - INFO - utils.loading_PP_utils - [inspect_epochs_events:915] -   - 'AP/1/Music/Conv/D/V3' (code 3191): 0 epochs
2025-06-27 18:03:33,413 - INFO - utils.loading_PP_utils - [inspect_epochs_events:915] -   - 'AP/2/Music/Conv/G/V1' (code 3142): 3 epochs
2025-06-27 18:03:33,413 - INFO - utils.loading_PP_utils - [inspect_epochs_events:915] -   - 'AP/2/Music/Conv/G/V2' (code 3152): 2 epochs
2025-06-27 18:03:33,413 - INFO - utils.loading_PP_utils - [inspect_epochs_events:915] -   - 'AP/2/Music/Conv/G/V3' (code 3162): 1 epochs
2025-06-27 18:03:33,413 - INFO - utils.loading_PP_utils - [inspect_epochs_events:915] -   - 'AP/2/Music/Conv/D/V1' (code 3172): 0 epochs
2025-06-27 18:03:33,413 - INFO - utils.loading_PP_utils - [inspect_epochs_events:915] -   - 'AP/2/Music/Conv/D/V2' (code 3182): 2 epochs
2025-06-27 18:03:33,414 - INFO - utils.loading_PP_utils - [inspect_epochs_events:915] -   - 'AP/2/Music/Conv/D/V3' (code 3192): 4 epochs
2025-06-27 18:03:33,414 - INFO - utils.loading_PP_utils - [inspect_epochs_events:915] -   - 'AP/3/Music/Conv/G/V1' (code 3143): 3 epochs
2025-06-27 18:03:33,414 - INFO - utils.loading_PP_utils - [inspect_epochs_events:915] -   - 'AP/3/Music/Conv/G/V2' (code 3153): 2 epochs
